,host_id,room_type,year,count
401,221803,Entire home/apt,2013,
402,221885,Entire home/apt,2013,
403,222034,Entire home/apt,2013,
404,223602,Entire home/apt,2013,
405,224012,Entire home/apt,2013,
406,224980,Entire home/apt,2013,
407,225558,Entire home/apt,2013,
408,226013,Entire home/apt,2013,
409,227139,Entire home/apt,2013,
410,228511,Entire home/apt,2013,
411,228540,Entire home/apt,2013,
412,230041,Entire home/apt,2013,
413,230432,Entire home/apt,2013,
414,230891,Entire home/apt,2013,
415,230916,Entire home/apt,2013,
416,231748,Entire home/apt,2013,
417,231825,Entire home/apt,2013,
418,232190,Entire home/apt,2013,
419,232759,Entire home/apt,2013,2.0
420,233347,Entire home/apt,2013,
421,233540,Entire home/apt,2013,
422,234254,Entire home/apt,2013,
423,234606,Entire home/apt,2013,
424,234859,Entire home/apt,2013,
425,235797,Entire home/apt,2013,1.0
426,236200,Entire home/apt,2013,
427,236762,Entire home/apt,2013,
428,237200,Entire home/apt,2013,
429,237849,Entire home/apt,2013,
430,239808,Entire home/apt,2013,
431,239820,Entire home/apt,2013,
432,239964,Entire home/apt,2013,
433,240397,Entire home/apt,2013,
434,241185,Entire home/apt,2013,
435,242810,Entire home/apt,2013,
436,242827,Entire home/apt,2013,
437,243050,Entire home/apt,2013,
438,243533,Entire home/apt,2013,
439,243770,Entire home/apt,2013,
440,244191,Entire home/apt,2013,
441,244992,Entire home/apt,2013,
442,247659,Entire home/apt,2013,
443,247849,Entire home/apt,2013,
444,248749,Entire home/apt,2013,
445,249204,Entire home/apt,2013,
446,250861,Entire home/apt,2013,
447,250901,Entire home/apt,2013,
448,252154,Entire home/apt,2013,
449,252184,Entire home/apt,2013,
450,252376,Entire home/apt,2013,
451,252598,Entire home/apt,2013,
452,252927,Entire home/apt,2013,
453,253220,Entire home/apt,2013,
454,255078,Entire home/apt,2013,
455,255151,Entire home/apt,2013,
456,255971,Entire home/apt,2013,1.0
457,257458,Entire home/apt,2013,
458,257655,Entire home/apt,2013,
459,257986,Entire home/apt,2013,
460,258005,Entire home/apt,2013,
461,258249,Entire home/apt,2013,
462,258358,Entire home/apt,2013,
463,258394,Entire home/apt,2013,
464,258645,Entire home/apt,2013,
465,259158,Entire home/apt,2013,
466,259283,Entire home/apt,2013,
467,260426,Entire home/apt,2013,
468,260494,Entire home/apt,2013,
469,261042,Entire home/apt,2013,
470,261077,Entire home/apt,2013,
471,261115,Entire home/apt,2013,
472,261391,Entire home/apt,2013,
473,261643,Entire home/apt,2013,
474,261759,Entire home/apt,2013,
475,262133,Entire home/apt,2013,
476,262355,Entire home/apt,2013,
477,262762,Entire home/apt,2013,
478,262875,Entire home/apt,2013,
479,264170,Entire home/apt,2013,
480,264864,Entire home/apt,2013,
481,265958,Entire home/apt,2013,
482,266101,Entire home/apt,2013,
483,266139,Entire home/apt,2013,
484,266464,Entire home/apt,2013,
485,266536,Entire home/apt,2013,
486,266619,Entire home/apt,2013,
487,266854,Entire home/apt,2013,
488,266857,Entire home/apt,2013,
489,267031,Entire home/apt,2013,
490,267093,Entire home/apt,2013,
491,267189,Entire home/apt,2013,
492,267382,Entire home/apt,2013,
493,267599,Entire home/apt,2013,
494,267697,Entire home/apt,2013,
495,268490,Entire home/apt,2013,
496,269372,Entire home/apt,2013,
497,270856,Entire home/apt,2013,
498,271847,Entire home/apt,2013,
499,271932,Entire home/apt,2013,
500,272176,Entire home/apt,2013,
501,272205,Entire home/apt,2013,
502,272645,Entire home/apt,2013,
503,272890,Entire home/apt,2013,
504,273500,Entire home/apt,2013,
505,273540,Entire home/apt,2013,
506,276049,Entire home/apt,2013,
507,276184,Entire home/apt,2013,
508,276473,Entire home/apt,2013,
509,278257,Entire home/apt,2013,
510,278835,Entire home/apt,2013,
511,279544,Entire home/apt,2013,
512,279717,Entire home/apt,2013,
513,280028,Entire home/apt,2013,
514,280645,Entire home/apt,2013,
515,280871,Entire home/apt,2013,
516,281428,Entire home/apt,2013,
517,281509,Entire home/apt,2013,
518,282280,Entire home/apt,2013,
519,283084,Entire home/apt,2013,
520,283455,Entire home/apt,2013,
521,283946,Entire home/apt,2013,
522,284244,Entire home/apt,2013,
523,284785,Entire home/apt,2013,
524,284843,Entire home/apt,2013,
525,284917,Entire home/apt,2013,
526,285151,Entire home/apt,2013,
527,285168,Entire home/apt,2013,
528,285204,Entire home/apt,2013,
529,285583,Entire home/apt,2013,
530,286128,Entire home/apt,2013,
531,286346,Entire home/apt,2013,
532,286661,Entire home/apt,2013,
533,286938,Entire home/apt,2013,
534,288174,Entire home/apt,2013,
535,288562,Entire home/apt,2013,
536,289376,Entire home/apt,2013,
537,289861,Entire home/apt,2013,
538,290120,Entire home/apt,2013,
539,290203,Entire home/apt,2013,
540,290422,Entire home/apt,2013,
541,293093,Entire home/apt,2013,
542,293503,Entire home/apt,2013,
543,293891,Entire home/apt,2013,
544,294223,Entire home/apt,2013,
545,294476,Entire home/apt,2013,
546,294746,Entire home/apt,2013,
547,295015,Entire home/apt,2013,
548,296704,Entire home/apt,2013,
549,296831,Entire home/apt,2013,
550,297802,Entire home/apt,2013,
551,297818,Entire home/apt,2013,
552,297950,Entire home/apt,2013,
553,297961,Entire home/apt,2013,
554,299939,Entire home/apt,2013,
555,300292,Entire home/apt,2013,
556,300797,Entire home/apt,2013,
557,301645,Entire home/apt,2013,
558,301651,Entire home/apt,2013,
559,301914,Entire home/apt,2013,
560,303169,Entire home/apt,2013,
561,303303,Entire home/apt,2013,
562,303417,Entire home/apt,2013,
563,303569,Entire home/apt,2013,
564,304086,Entire home/apt,2013,
565,304244,Entire home/apt,2013,
566,304688,Entire home/apt,2013,
567,305422,Entire home/apt,2013,
568,305469,Entire home/apt,2013,
569,305557,Entire home/apt,2013,
570,306943,Entire home/apt,2013,
571,306980,Entire home/apt,2013,
572,308219,Entire home/apt,2013,
573,308883,Entire home/apt,2013,
574,309720,Entire home/apt,2013,
575,310356,Entire home/apt,2013,
576,310372,Entire home/apt,2013,
577,311364,Entire home/apt,2013,
578,311757,Entire home/apt,2013,
579,311849,Entire home/apt,2013,
580,312334,Entire home/apt,2013,
581,314068,Entire home/apt,2013,
582,315276,Entire home/apt,2013,
583,315477,Entire home/apt,2013,
584,316776,Entire home/apt,2013,
585,317914,Entire home/apt,2013,
586,318000,Entire home/apt,2013,
587,318732,Entire home/apt,2013,
588,320015,Entire home/apt,2013,
589,320548,Entire home/apt,2013,
590,320665,Entire home/apt,2013,
591,321440,Entire home/apt,2013,
592,321702,Entire home/apt,2013,
593,321927,Entire home/apt,2013,
594,322217,Entire home/apt,2013,
595,322410,Entire home/apt,2013,
596,322818,Entire home/apt,2013,
597,323036,Entire home/apt,2013,
598,323560,Entire home/apt,2013,
599,323761,Entire home/apt,2013,
600,324490,Entire home/apt,2013,
601,324596,Entire home/apt,2013,
602,325204,Entire home/apt,2013,
603,325236,Entire home/apt,2013,
604,325678,Entire home/apt,2013,
605,325713,Entire home/apt,2013,
606,325913,Entire home/apt,2013,
607,326840,Entire home/apt,2013,1.0
608,328543,Entire home/apt,2013,
609,330144,Entire home/apt,2013,
610,331559,Entire home/apt,2013,
611,331649,Entire home/apt,2013,
612,332177,Entire home/apt,2013,
613,333016,Entire home/apt,2013,
614,334392,Entire home/apt,2013,
615,334714,Entire home/apt,2013,
616,335127,Entire home/apt,2013,
617,336174,Entire home/apt,2013,
618,337146,Entire home/apt,2013,
619,337160,Entire home/apt,2013,
620,337700,Entire home/apt,2013,
621,337833,Entire home/apt,2013,
622,338939,Entire home/apt,2013,
623,339507,Entire home/apt,2013,
624,339788,Entire home/apt,2013,
625,340977,Entire home/apt,2013,
626,341566,Entire home/apt,2013,
627,344875,Entire home/apt,2013,
628,346276,Entire home/apt,2013,
629,346513,Entire home/apt,2013,
630,346580,Entire home/apt,2013,
631,346638,Entire home/apt,2013,
632,347127,Entire home/apt,2013,
633,347624,Entire home/apt,2013,
634,347727,Entire home/apt,2013,
635,349322,Entire home/apt,2013,
636,350767,Entire home/apt,2013,
637,350839,Entire home/apt,2013,
638,351386,Entire home/apt,2013,
639,353936,Entire home/apt,2013,
640,354456,Entire home/apt,2013,
641,354571,Entire home/apt,2013,
642,355513,Entire home/apt,2013,
643,355536,Entire home/apt,2013,
644,355598,Entire home/apt,2013,
645,356336,Entire home/apt,2013,
646,356625,Entire home/apt,2013,
